player_id,year,player_name,position_combine,School,height,weight,forty_yard,vertical_leap,bench_press,broad_jump,three_cone,shuttle_run,nfl_team,position_nfl_standard,draft_round
2010ChriChan,2010,Chris Chancellor,CB,Clemson,69,177.0,4.49,34.0,14.0,115.0,6.85,4.07,Undrafted,Undrafted,8.0
2010Kam Chan,2010,Kam Chancellor,S,Virginia Tech,75,231.0,4.62,32.0,22.0,116.0,7.36,4.41,SEA,DB,5.0
2010JamaChan,2010,Jamar Chaney,ILB,Mississippi State,73,242.0,4.54,39.0,26.0,124.0,6.9,4.29,PHI,LB,7.0
2010BarrChur,2010,Barry Church,S,Toledo,73,222.0,4.69,36.0,19.0,121.0,6.65,4.17,Undrafted,Undrafted,8.0
2010DaryClar,2010,Daryll Clark,QB,Penn State,74,235.0,4.72,,21.0,,,,Undrafted,Undrafted,8.0
2010JimmClau,2010,Jimmy Clausen,QB,Notre Dame,75,222.0,4.76,,,,,,CAR,QB,2.0
2010KeenClay,2010,Keenan Clayton,OLB,Oklahoma,73,229.0,4.59,41.5,27.0,124.0,,,PHI,LB,4.0
2010TerrCody,2010,Terrence Cody,DT,Alabama,76,354.0,5.71,20.5,,90.0,8.19,5.03,BAL,DT,2.0
2010JustCole,2010,Justin Cole,OLB,San Jose State,75,242.0,4.76,34.5,22.0,117.0,7.13,4.42,Undrafted,Undrafted,8.0
2010HarrCole,2010,Harry Coleman,S,LSU,73,211.0,4.56,33.0,13.0,115.0,7.24,4.42,Undrafted,Undrafted,8.0
2010AntoCole,2010,Antonio Coleman,OLB,Auburn,73,255.0,4.76,,18.0,113.0,,,Undrafted,Undrafted,8.0
2010KurtCole,2010,Kurt Coleman,S,Ohio State,70,192.0,4.55,,19.0,,,,PHI,DB,7.0
2010JohnConn,2010,John Conner,FB,Kentucky,71,246.0,4.64,35.0,24.0,111.0,7.15,4.32,NYJ,RB,5.0
2010KaveConn,2010,Kavell Conner,OLB,Clemson,72,242.0,4.59,33.5,24.0,110.0,7.36,4.6,IND,LB,7.0
2010ChriCook,2010,Chris Cook,CB,Virginia,74,212.0,4.45,38.0,7.0,132.0,6.88,4.23,MIN,DB,2.0
2010ErikCook,2010,Erik Cook,C,New Mexico,78,318.0,5.55,25.0,19.0,94.0,8.24,4.99,Undrafted,Undrafted,8.0
2010RileCoop,2010,Riley Cooper,WR,Florida,75,222.0,4.53,33.0,,114.0,,,PHI,WR,5.0
2010PerrCox,2010,Perrish Cox,CB,Oklahoma State,71,195.0,4.58,32.5,12.0,113.0,,,DEN,DB,5.0
2010JermCunn,2010,Jermaine Cunningham,DE,Florida,75,266.0,4.89,,,,,,NWE,LB,2.0
2010RennCurr,2010,Rennie Curran,OLB,Georgia,71,235.0,4.75,34.5,25.0,,,,TEN,LB,3.0
2010AnthDavi,2010,Anthony Davis,OT,Rutgers,77,323.0,5.36,33.0,21.0,99.0,8.17,4.97,SFO,T,1.0
2010DextDavi,2010,Dexter Davis,OLB,Arizona State,73,244.0,4.62,35.0,25.0,109.0,7.08,4.3,SEA,LB,7.0
2010HallDavi,2010,Hall Davis,DE,Louisiana-Lafayette,76,271.0,4.84,,28.0,,,,STL,DE,5.0
2010BranDead,2010,Brandon Deaderick,DT,Alabama,76,314.0,5.08,,,,,,NWE,DE,7.0
2010EricDeck,2010,Eric Decker,WR,Minnesota,75,217.0,4.54,,15.0,,,,DEN,WR,3.0
2010ChriDeGe,2010,Chris DeGeare,OG,Wake Forest,76,325.0,5.12,32.5,27.0,103.0,7.84,4.9,MIN,G,5.0
2010DoriDick,2010,Dorin Dickerson,TE,Pittsburgh,73,226.0,4.4,43.5,24.0,125.0,6.96,4.3,HOU,WR,7.0
2010Ed DDick,2010,Ed Dickson,TE,Oregon,76,249.0,4.59,34.0,23.0,115.0,7.32,4.59,BAL,TE,3.0
